movie_title,date,daily_audience,accum_audience,screen_count,show_count
왕과 사는 남자,20260204,117783,147538,1658,6932
왕과 사는 남자,20260205,91731,239269,1612,6723
왕과 사는 남자,20260206,126625,365894,1653,7152
왕과 사는 남자,20260207,327112,693006,1717,7714
왕과 사는 남자,20260208,308083,1001089,1724,7292
왕과 사는 남자,20260209,98379,1099468,1530,6494
왕과 사는 남자,20260210,95582,1195050,1536,6557
왕과 사는 남자,20260211,86924,1281974,1150,4203
왕과 사는 남자,20260212,83916,1365890,1206,4331
왕과 사는 남자,20260213,133573,1499463,1420,5369
왕과 사는 남자,20260214,357886,1857349,1729,6851
왕과 사는 남자,20260215,465257,2322606,1836,7248
왕과 사는 남자,20260216,537175,2859781,1899,7804
왕과 사는 남자,20260217,661441,3521222,2010,8341
왕과 사는 남자,20260218,653635,4174857,2017,8045
왕과 사는 남자,20260219,239783,4414640,1607,6521
왕과 사는 남자,20260220,264715,4679355,1771,7277
왕과 사는 남자,20260221,581160,5260515,2106,9006
왕과 사는 남자,20260222,568289,5828804,2142,8689
왕과 사는 남자,20260223,195474,6024278,1756,7273
왕과 사는 남자,20260224,194638,6218916,1778,7331
왕과 사는 남자,20260225,309574,6528490,1937,7497
왕과 사는 남자,20260226,204929,6733419,1803,7335
왕과 사는 남자,20260227,278059,7011478,1932,8039
왕과 사는 남자,20260228,655719,7667197,2165,9758
왕과 사는 남자,20260301,817185,8484382,2170,9709
왕과 사는 남자,20260302,728928,9213310,2150,9322
왕과 사는 남자,20260303,194476,9407786,1800,7489
왕과 사는 남자,20260304,189639,9597425,1633,6464
왕과 사는 남자,20260305,180530,9777955,1697,6654
왕과 사는 남자,20260306,271745,10049700,1881,7684
왕과 사는 남자,20260307,754523,10804223,2171,9535
왕과 사는 남자,20260308,699461,11503684,2187,9211
왕과 사는 남자,20260309,203140,11706824,1816,7356
왕과 사는 남자,20260310,177180,11884004,1860,7464
왕과 사는 남자,20260311,171424,12055428,1934,7926
왕과 사는 남자,20260312,158648,12214076,1955,7839
왕과 사는 남자,20260313,221373,12435449,2036,8880
왕과 사는 남자,20260314,554197,12989646,2263,10419
왕과 사는 남자,20260315,478145,13467791,2223,9908
