날짜,일일 관객수,누적 관객수,스크린 수,상영 횟수
20260204,117783,147538,1658,6932
20260205,91731,239269,1612,6723
20260206,126625,365894,1653,7152
20260207,327112,693006,1717,7714
20260208,308083,1001089,1724,7292
20260209,98379,1099468,1530,6494
20260210,95582,1195050,1536,6557
20260211,86924,1281974,1150,4203
20260212,83916,1365890,1206,4331
20260213,133573,1499463,1420,5369
20260214,357886,1857349,1729,6851
20260215,465257,2322606,1836,7248
20260216,537175,2859781,1899,7804
20260217,661441,3521222,2010,8341
20260218,653635,4174857,2017,8045
20260219,239783,4414640,1607,6521
20260220,264715,4679355,1771,7277
20260221,581160,5260515,2106,9006
20260222,568289,5828804,2142,8689
20260223,195474,6024278,1756,7273
20260224,194638,6218916,1778,7331
20260225,309574,6528490,1937,7497
20260226,204929,6733419,1803,7335
20260227,278059,7011478,1932,8039
20260228,655719,7667197,2165,9758
20260301,817185,8484382,2170,9709
20260302,728928,9213310,2150,9322
20260303,194476,9407786,1800,7489
20260304,189639,9597425,1633,6464
20260305,180530,9777955,1697,6654
20260306,271745,10049700,1881,7684
20260307,754523,10804223,2171,9535
20260308,699461,11503684,2187,9211
20260309,203140,11706824,1816,7356
20260310,177180,11884004,1860,7464
20260311,171424,12055428,1934,7926
20260312,158648,12214076,1955,7839
20260313,221373,12435449,2036,8880
20260314,554197,12989646,2263,10419
20260315,478145,13467791,2223,9908
